category,n,graph6,band_01neg
con,12,K@~~vrv|v~~~,3
con,12,KQqZ[xjL~r]q,3
con,12,KRQME?iIWlAj,3
con,12,K^rHGqjY{nIz,3
con,12,K^rLRUUTXNb^,3
con,12,K`?Cz]ghIpIb,3
con,12,K`?LTLYT[wL`,3
con,12,K`dl\\]V^d]J,3
con,12,KrPCSGhHgrAr,3
con,12,K~ze}w~N~~~~,3
con,12,K?zmtvUlZuMf,4
con,12,KraGolIIiJCj,4
con,12,Ks@ipqGOXDaf,4
con,12,KsSr?^lttuns,4
con_reg,1,@,1
con_reg,2,A_,1
con_reg,3,Bw,2
con_reg,4,Cr,1
con_reg,4,C~,1
con_reg,5,D~{,2
con_reg,6,EoSo,2
con_reg,6,Es\o,2
con_reg,6,E{Sw,2
con_reg,6,E}lw,2
con_reg,6,E~~w,2
con_reg,7,F~~~w,2
con_reg,8,Gs@ipo,1
con_reg,8,Gs`zro,1
con_reg,8,G~`HW{,1
con_reg,8,G~rHx{,1
con_reg,8,G~z\z{,1
con_reg,8,G~~~~{,1
con_reg,9,H{dQXgj,2
con_reg,9,H}q|r|},2
con_reg,9,H~~~~~~,2
con_reg,10,IsP@OkWHG,2
con_reg,10,Is_BjX[N?,2
con_reg,10,IsaBzx{^?,2
con_reg,10,I~qkzXZLw,2
con_reg,10,I~}AHKVBw,2
con_reg,10,I~~v]}~^w,2
con_reg,10,I~~~~~~~w,2
con_reg,11,J~~~~~~~~~_,2
con_reg,12,KsaCB|}^b{No,1
con_reg,12,K~~~~~~~~~~~,1
con_reg,12,Ks?GOObDRCI_,2
con_reg,12,Ks_?BLUR`wFO,2
con_reg,12,Ks_?BLeF_{N?,2
con_reg,12,Ks_GagjLASko,2
con_reg,12,Ksa?BtuZa{Fo,2
con_reg,12,Ksc?JLSIhgHP,2
con_reg,12,Ksc?JLSQhSE`,2
con_reg,12,KseY`TIKZLKi,2
con_reg,12,KseY`dIIZLKi,2
con_reg,12,KsfyACbGypfW,2
con_reg,12,KtaHGthYaiis,2
